Player,Team,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Fmb Yds,Fmb TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
Malcolm Butler,TEN,30,RCB,16,16,4,111,0,68,14,0,0,0,0,0,0.0,100,86,14,1,0,0
Kevin Byard,TEN,27,FS,16,16,1,0,0,0,7,1,0,0,0,0,0.0,111,79,32,1,1,0
Jessie Bates III,CIN,23,FS,16,16,3,12,0,12,15,1,0,0,0,0,0.0,109,78,31,2,1,0
Justin Simmons *,DEN,27,FS,16,16,5,90,0,46,9,0,0,1,18,0,0.0,96,77,19,3,0,0
Keanu Neal,ATL,25,FS,15,14,1,0,0,0,2,0,0,1,0,0,1.0,100,76,24,9,3,0
John Johnson,LAR,25,FS,16,16,1,0,0,0,8,0,0,0,0,0,0.0,105,73,32,2,0,0
Logan Ryan,NYG,29,FS,16,15,1,15,0,15,9,3,0,2,0,0,1.0,94,68,26,1,4,0
Eric Rowe,MIA,28,FS,16,14,2,26,0,22,11,0,0,1,0,0,0.0,91,66,25,1,2,0
Jeff Gladney,MIN,24,RCB,16,15,0,0,0,0,3,1,0,0,0,0,0.0,81,63,18,7,1,0
Eddie Jackson,CHI,27,FS,16,16,0,0,0,0,5,3,0,1,8,1,0.0,82,63,19,1,0,0
Tre Boston,CAR,28,FS,16,16,1,0,0,0,4,1,0,2,0,0,1.0,95,61,34,3,2,0
Vernon Hargreaves III,HOU,25,RCB,16,16,1,0,0,0,7,0,0,0,0,0,0.0,72,61,11,1,0,0
Minkah Fitzpatrick*+,PIT,24,FS,16,16,4,77,1,37,11,1,0,1,-1,0,0.0,79,60,19,1,0,0
Jalen Mills,PHI,26,FS,15,15,1,5,0,5,3,1,0,0,0,0,1.5,74,59,15,4,5,0
Nasir Adderley,LAC,23,FS,15,14,1,39,0,39,3,0,0,1,1,0,0.0,69,58,11,0,1,0
Anthony Harris,MIN,29,FS,16,16,0,0,0,0,7,0,0,0,0,0,0.0,104,58,46,2,0,0
Darnell Savage Jr.,GNB,23,FS,15,15,4,13,0,9,12,0,0,1,0,0,1.0,75,56,19,3,2,0
Duron Harmon,DET,29,FS,16,16,2,22,0,21,5,0,0,0,0,0,0.0,73,54,19,0,1,0
Terrance Mitchell,CLE,28,RCB,16,16,0,0,0,0,13,3,0,0,0,0,0.0,65,54,11,2,0,0
Dre Kirkpatrick,ARI,31,RCB,14,11,3,13,0,13,7,0,0,0,0,0,0.0,56,53,3,0,0,0
Sean Murphy-Bunting,TAM,23,RCB,16,13,1,0,0,0,3,1,0,1,3,0,0.0,70,53,17,3,1,0
Darius Slay,PHI,29,RCB,15,14,1,25,0,25,6,0,0,0,0,0,0.0,59,53,6,2,0,0
Jordan Whitehead,TAM,23,FS,16,16,2,2,0,2,4,1,0,1,0,0,2.0,74,53,21,9,3,0
Chauncey Gardner-Johnson,NOR,23,DB,15,13,1,3,0,3,13,0,0,0,0,0,1.0,66,52,14,5,4,0
Marshon Lattimore *,NOR,24,RCB,14,14,2,13,0,13,11,0,0,0,0,0,0.0,62,52,10,2,0,0
Marcus Maye,NYJ,27,FS,16,16,2,0,0,0,11,2,0,1,0,0,2.0,88,52,36,4,2,0
DeShon Elliott,BAL,23,FS,16,16,0,0,0,0,4,2,0,0,0,0,2.5,80,51,29,3,5,0
Isaiah Oliver,ATL,24,RCB,16,12,0,0,0,0,6,1,0,0,0,0,1.0,70,51,19,4,2,0
Andrew Sendejo,CLE,33,FS,14,14,0,0,0,0,2,1,0,0,0,0,0.0,67,51,16,0,0,0
Rasul Douglas,CAR,26,RCB,14,11,0,0,0,0,9,0,0,0,0,0,0.0,62,50,12,1,0,0
Trevon Diggs,DAL,22,RCB,12,11,3,43,0,33,14,1,0,0,0,0,1.0,58,49,9,1,0,0
Micah Hyde,BUF,30,FS,15,15,1,33,0,33,5,0,1,0,0,0,0.0,70,48,22,1,0,0
Xavier Woods,DAL,25,FS,15,15,0,0,0,0,1,0,0,0,0,0,0.0,72,48,24,2,1,0
Eric Murray,HOU,26,FS,14,14,0,0,0,0,2,1,0,0,0,0,2.0,71,47,24,2,4,0
Marcus Peters,BAL,27,RCB,14,14,4,17,0,12,9,4,1,2,-3,0,1.0,52,46,6,1,1,0
Kevin King,GNB,25,RCB,11,11,0,0,0,0,5,1,0,1,48,0,0.0,57,45,12,0,1,0
Devin McCourty,NWE,33,FS,16,16,2,62,1,43,6,0,0,0,0,0,0.0,68,45,23,2,0,0
Amani Oruwariye,DET,24,RCB,16,15,1,0,0,0,7,0,0,0,0,0,0.0,53,45,8,1,0,0
Jimmie Ward,SFO,29,FS,14,14,0,0,0,0,4,2,0,0,0,0,0.0,73,45,28,0,1,0
Jarrod Wilson,JAX,26,FS,12,12,1,48,0,48,3,0,0,0,0,0,0.0,69,45,24,2,0,0
Erik Harris,LVR,30,FS,14,12,0,0,0,0,5,1,0,0,0,0,0.0,61,44,17,1,1,0
Ronald Darby,WAS,26,RCB,16,16,0,0,0,0,16,0,0,1,0,0,0.0,55,43,12,1,0,0
Steven Nelson,PIT,27,RCB,15,15,2,3,0,3,9,0,0,1,0,0,0.0,48,43,5,2,0,0
Quandre Diggs*,SEA,27,FS,16,16,5,57,0,32,10,0,0,0,0,0,0.0,64,42,22,0,0,0
Xavien Howard*+,MIA,27,RCB,16,16,10,77,0,29,20,1,0,0,0,0,0.0,51,40,11,1,0,0
Jourdan Lewis,DAL,25,DB,15,13,0,0,0,0,2,0,0,1,0,0,2.0,59,40,19,7,1,0
Marcus Williams,NOR,24,FS,14,14,3,37,0,20,7,0,0,0,0,0,0.0,59,39,20,0,0,0
William Jackson III,CIN,28,RCB,14,14,1,30,0,30,11,0,0,0,0,0,0.0,45,38,7,1,0,0
Casey Hayward,LAC,31,RCB,14,13,1,9,0,9,8,0,0,0,0,0,0.0,41,36,5,0,0,0
Jalen Ramsey*+,LAR,26,RCB,15,15,1,2,0,2,9,0,0,0,0,0,0.0,44,36,8,2,1,0
Julian Blackmon,IND,22,FS,15,14,2,19,0,15,6,1,0,0,0,0,0.0,42,35,7,3,0,0
Xavier Rhodes,IND,30,RCB,16,16,2,44,1,44,12,0,0,0,0,0,0.0,42,35,7,0,0,0
Jaylon Johnson,CHI,21,RCB,13,13,0,0,0,0,15,0,0,0,0,0,0.0,44,34,10,1,0,0
Levi Wallace,BUF,25,RCB,12,12,2,0,0,0,8,0,0,0,0,0,0.0,48,34,14,1,1,0
Bashaud Breeland,KAN,28,RCB,11,11,2,29,0,29,9,1,0,1,0,0,0.0,38,30,8,1,0,0
Stephon Gilmore*,NWE,30,RCB,11,11,1,15,0,15,3,1,0,0,0,0,0.0,37,30,7,1,0,0
